index,TotalAssets,	CurrentAssets,		CashCashEquivalentsAndShortTermInvestments,			CashAndCashEquivalents,			OtherShortTermInvestments,		Receivables,			AccountsReceivable,	TotalNonCurrentAssets,		NetPPE,			GrossPPE,			AccumulatedDepreciation,		GoodwillAndOtherIntangibleAssets,			OtherIntangibleAssets,TotalLiabilitiesNetMinorityInterest,	CurrentLiabilities,		PayablesAndAccruedExpenses,			Payables,				AccountsPayable,			CurrentAccruedExpenses,		CurrentDeferredLiabilities,			CurrentDeferredRevenue,	TotalNonCurrentLiabilitiesNetMinorityInterest,TotalEquityGrossMinorityInterest,	StockholdersEquity,		CapitalStock,			CommonStock,		RetainedEarnings,		GainsLossesNotAffectingRetainedEarnings,TotalCapitalization,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,ShareIssued,OrdinarySharesNumber,TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	ResearchAndDevelopment,OperatingIncome,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,DilutedNIAvailtoComStockholders,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,EBIT,ReconciledCostOfRevenue,NetIncomeFromContinuingOperationNetMinorityInterest,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,OperatingCashFlow,	CashFlowFromContinuingOperatingActivities,		DepreciationAmortizationDepletion,			DepreciationAndAmortization,				Depreciation,				AmortizationCashFlow,					AmortizationOfIntangibles,		ChangeInWorkingCapital,			ChangeInReceivables,			ChangeInPayablesAndAccruedExpense,			ChangeInOtherWorkingCapital,InvestingCashFlow,	CashFlowFromContinuingInvestingActivities,		NetPPEPurchaseAndSale,			PurchaseOfPPE,		NetInvestmentPurchaseAndSale,			PurchaseOfInvestment,			SaleOfInvestment,FinancingCashFlow,	CashFlowFromContinuingFinancingActivities,EndCashPosition,	ChangesInCash,	EffectOfExchangeRateChanges,	BeginningCashPosition,CapitalExpenditure,FreeCashFlow,Close
6/30/2009,35158760000.0,23834853000.0,19344006000.0,11911351000.0,7432655000.0,2847755000.0,2701912000.0,11323907000.0,5005900000.0,7905528000.0,-2899628000.0,5693299000.0,856386000.0,3563904000.0,2000962000.0,1773201000.0,221914000.0,221914000.0,1551287000.0,227761000.0,227761000.0,1562942000.0,31594856000.0,31594856000.0,316000.0,316000.0,16469003000.0,81434000.0,31594856000.0,31594856000.0,25901557000.0,21833891000.0,31594856000.0,25901557000.0,632235402.0,632235402.0,5522897000.0,5522897000.0,2107971000.0,3414926000.0,1541032000.0,707626000.0,1873894000.0,1856176000.0,371631000.0,1484545000.0,1484545000.0,1484545000.0,1484545000.0,1484545000.0,1873894000.0,3649003000.0,1484545000.0,1505952892.0,1873894000.0,2107971000.0,1484545000.0,2277618000.0,0.2,-5359107.64,1609172000.0,1609172000.0,376957000.0,376957000.0,310982000.0,65975000.0,65975000.0,-437623000.0,-139118000.0,-312304000.0,3461000.0,-217142000.0,-217142000.0,-139437000.0,-139437000.0,-74684000.0,-5400403000.0,5325719000.0,51246000.0,51246000.0,11911351000.0,1443276000.0,41784000.0,10426291000.0,-139437000.0,1469735000.0,210.007843
3/31/2009,33513029000.0,22080802000.0,17784933000.0,10426291000.0,7358642000.0,2543105000.0,2543105000.0,11432227000.0,5122105000.0,7697487000.0,-2575382000.0,5740659000.0,910344000.0,3664934000.0,2183854000.0,1966917000.0,514019000.0,196220000.0,1452898000.0,216937000.0,216937000.0,1481080000.0,29848095000.0,29848095000.0,316000.0,316000.0,14984458000.0,168820000.0,29848095000.0,29848095000.0,24107436000.0,19896948000.0,29848095000.0,24107436000.0,632235402.0,632235402.0,5508990000.0,5508990000.0,2101504000.0,3407486000.0,1523895000.0,641643000.0,1883591000.0,1889801000.0,466973000.0,1422828000.0,1422828000.0,1422828000.0,1422828000.0,1422828000.0,1883591000.0,3625399000.0,1422828000.0,1467913057.0,1883591000.0,2101504000.0,1422828000.0,2346695000.0,0.25,-14796942.74,2249512000.0,2249512000.0,403222000.0,403222000.0,321129000.0,82093000.0,82093000.0,212079000.0,97390000.0,28557000.0,8675000.0,-418832000.0,-418832000.0,-262755000.0,-262755000.0,-154005000.0,-5263595000.0,5109590000.0,-4892000.0,-4892000.0,10426291000.0,1825788000.0,-56169000.0,8656672000.0,-262755000.0,1986757000.0,173.38012700000002
12/31/2008,31767575000.0,20178182000.0,15845771000.0,8656672000.0,7189099000.0,2642192000.0,2642192000.0,11589393000.0,5233843000.0,7576341000.0,-2342498000.0,5836544000.0,996690000.0,3528713000.0,2302090000.0,1272363000.0,259553000.0,178004000.0,1012810000.0,218084000.0,218084000.0,1226623000.0,28238862000.0,28238862000.0,315000.0,315000.0,13561630000.0,226579000.0,28238862000.0,28238862000.0,22402318000.0,17876092000.0,28238862000.0,22402318000.0,628898862.0,628898862.0,5700904000.0,5700904000.0,2190005000.0,3510899000.0,1650694000.0,733341000.0,1860205000.0,835347000.0,452905000.0,382442000.0,382442000.0,382442000.0,382442000.0,382442000.0,1860205000.0,3840699000.0,382442000.0,1106090250.0,1860205000.0,2190005000.0,382442000.0,3359020000.0,0.35,-389656750.0,2122299000.0,2122299000.0,385510000.0,385510000.0,313475000.0,72035000.0,72035000.0,135206000.0,-116138000.0,135084000.0,93433000.0,-1816838000.0,-1816838000.0,-367844000.0,-367844000.0,-1416403000.0,-7544296000.0,6127893000.0,11049000.0,11049000.0,8656672000.0,316510000.0,-30307000.0,8370469000.0,-367844000.0,1754455000.0,153.25058
9/30/2008,30806974000.0,17962851000.0,14412609000.0,8370469000.0,6042140000.0,2541492000.0,2541492000.0,12844123000.0,5213167000.0,7325792000.0,-2112625000.0,5869363000.0,1047717000.0,3332112000.0,2224277000.0,1401241000.0,340665000.0,240706000.0,1060576000.0,200378000.0,200378000.0,1107835000.0,27474862000.0,27474862000.0,315000.0,315000.0,13179188000.0,101162000.0,27474862000.0,27474862000.0,21605499000.0,15738574000.0,27474862000.0,21605499000.0,628898862.0,628898862.0,5541391000.0,5541391000.0,2173390000.0,3368001000.0,1720436000.0,704571000.0,1647565000.0,1668782000.0,378844000.0,1289938000.0,1289938000.0,1289938000.0,1289938000.0,1289938000.0,1647565000.0,3893826000.0,1289938000.0,1343875892.0,1647565000.0,2173390000.0,1289938000.0,2103590000.0,0.23,-15841107.75,2184958000.0,2184958000.0,386246000.0,386246000.0,309482000.0,76764000.0,76764000.0,257062000.0,78050000.0,130748000.0,35420000.0,-1136957000.0,-1136957000.0,-451503000.0,-451503000.0,-710016000.0,-2928360000.0,2218344000.0,4285000.0,4285000.0,8370469000.0,1052286000.0,-45353000.0,7363536000.0,-451503000.0,1733455000.0,199.512177
6/30/2008,29179786000.0,16316837000.0,12733669000.0,7363536000.0,5370133000.0,2641901000.0,2641901000.0,12862949000.0,5137710000.0,7013003000.0,-1875293000.0,5992796000.0,1138991000.0,3266771000.0,2345515000.0,1654798000.0,582394000.0,439281000.0,1072404000.0,197433000.0,197433000.0,921256000.0,25913015000.0,25913015000.0,314000.0,314000.0,11889249000.0,119181000.0,25913015000.0,25913015000.0,19920219000.0,13971322000.0,25913015000.0,19920219000.0,628284109.0,628284109.0,5367212000.0,5367212000.0,2147575000.0,3219637000.0,1641672000.0,682210000.0,1577965000.0,1635888000.0,388497000.0,1247391000.0,1247391000.0,1247391000.0,1247391000.0,1247391000.0,1577965000.0,3789247000.0,1247391000.0,1270390774.0,1577965000.0,2147575000.0,1247391000.0,1999735000.0,0.24,-7163225.73,1766154000.0,1766154000.0,391607000.0,391607000.0,308716000.0,82891000.0,82891000.0,-54311000.0,-72883000.0,66153000.0,93638000.0,-958633000.0,-958633000.0,-697517000.0,-697517000.0,-73959000.0,-2111290000.0,2037331000.0,43577000.0,43577000.0,7363536000.0,851098000.0,-7311000.0,6519749000.0,-697517000.0,1068637000.0,262.22711200000003
3/31/2008,27604982000.0,15464931000.0,12134508000.0,6519749000.0,5614759000.0,2560909000.0,2560909000.0,12140051000.0,4741724000.0,6430853000.0,-1689129000.0,5995371000.0,1203972000.0,3267447000.0,2460475000.0,1808221000.0,535552000.0,358122000.0,1272669000.0,194066000.0,194066000.0,806972000.0,24337535000.0,24337535000.0,314000.0,314000.0,10641858000.0,133415000.0,24337535000.0,24337535000.0,18342164000.0,13004456000.0,24337535000.0,18342164000.0,627577602.0,627577602.0,5186043000.0,5186043000.0,2110536000.0,3075507000.0,1529272000.0,673069000.0,1546235000.0,1713578000.0,406492000.0,1307086000.0,1307086000.0,1307086000.0,1307086000.0,1307086000.0,1546235000.0,3639808000.0,1307086000.0,1272206280.0,1713965000.0,2110536000.0,1307086000.0,2004762000.0,0.24,10847279.6,1779446000.0,1779446000.0,336524000.0,336524000.0,280564000.0,55960000.0,55960000.0,-10725000.0,-223493000.0,-190617000.0,444969000.0,-1406994000.0,-1406994000.0,-841597000.0,-841597000.0,2559716000.0,-2819512000.0,5379228000.0,28656000.0,28656000.0,6519749000.0,401108000.0,37048000.0,6081593000.0,-841597000.0,937849000.0,219.412582
12/31/2007,25335806000.0,17289138000.0,14218613000.0,6081593000.0,8137020000.0,2307774000.0,2162521000.0,8046668000.0,4039261000.0,5519912000.0,-1480651000.0,2745964000.0,446596000.0,2646127000.0,2035602000.0,1269139000.0,282106000.0,282106000.0,987033000.0,178073000.0,178073000.0,610525000.0,22689679000.0,22689679000.0,313000.0,313000.0,9334772000.0,113373000.0,22689679000.0,22689679000.0,19943715000.0,15253536000.0,22689679000.0,19943715000.0,626151074.0,626151074.0,4826679000.0,4826679000.0,1955824000.0,2870855000.0,1430121000.0,630783000.0,1440734000.0,1608027000.0,401578000.0,1206449000.0,1206449000.0,1206449000.0,1206449000.0,1206449000.0,1440734000.0,3385945000.0,1206449000.0,1189318162.0,1608198000.0,1955824000.0,1206449000.0,1875301000.0,0.25,5702162.01,1693248000.0,1693248000.0,289936000.0,289936000.0,241902000.0,48034000.0,48034000.0,288930000.0,-277822000.0,276227000.0,351952000.0,-875432000.0,-875432000.0,-678209000.0,-678209000.0,-113664000.0,-4254136000.0,4140472000.0,145417000.0,145417000.0,6081593000.0,963233000.0,11956000.0,5106404000.0,-678209000.0,1015039000.0,344.448914
6/30/2006,14396006000.0,11058107000.0,9821632000.0,4015922000.0,5805710000.0,885088000.0,885088000.0,3337899000.0,1799766000.0,2452055000.0,-652289000.0,465198000.0,146601000.0,1038998000.0,977430000.0,785861000.0,179441000.0,179441000.0,606420000.0,83286000.0,83286000.0,61568000.0,13357008000.0,13357008000.0,303000.0,303000.0,3369236000.0,-26924000.0,13357008000.0,13357008000.0,12891810000.0,10080677000.0,13357008000.0,12891810000.0,608131975.0,608131975.0,2455991000.0,2455991000.0,989032000.0,1466959000.0,651587000.0,282552000.0,815372000.0,976177000.0,255100000.0,721077000.0,721077000.0,721077000.0,721077000.0,721077000.0,815372000.0,1640619000.0,721077000.0,678385310.7,815372000.0,989032000.0,721077000.0,883798000.0,0.26,15103310.67,840586000.0,840586000.0,126221000.0,126221000.0,110211000.0,16010000.0,16010000.0,142226000.0,-37990000.0,33647000.0,267415000.0,-2067638000.0,-2067638000.0,-887506000.0,-887506000.0,-1368096000.0,-5468818000.0,4100722000.0,2299056000.0,2299056000.0,4015922000.0,1072004000.0,8739000.0,2935179000.0,-887506000.0,-46920000.0,208.88206499999998
3/31/2006,11294870000.0,9555957000.0,8429028000.0,2935179000.0,5493849000.0,844378000.0,844378000.0,1738913000.0,1209681000.0,1749568000.0,-539887000.0,479379000.0,160573000.0,1051602000.0,980024000.0,688292000.0,145911000.0,145911000.0,542381000.0,80172000.0,80172000.0,71578000.0,10243268000.0,10243268000.0,295000.0,295000.0,2648159000.0,-10363000.0,10243268000.0,10243268000.0,9763889000.0,8575933000.0,10243268000.0,9763889000.0,593898998.0,593898998.0,2253755000.0,2253755000.0,904119000.0,1349636000.0,606937000.0,246599000.0,742699000.0,810618000.0,218327000.0,592291000.0,592291000.0,592291000.0,592291000.0,592291000.0,742699000.0,1511056000.0,592291000.0,592291000.0,742699000.0,904119000.0,592291000.0,853857000.0,0.27,0.0,824804000.0,824804000.0,111158000.0,111158000.0,95868000.0,15290000.0,15290000.0,2691000.0,-155221000.0,30232000.0,3042000.0,-1888617000.0,-1888617000.0,-344938000.0,-344938000.0,-1355715000.0,-13111471000.0,11755756000.0,119896000.0,119896000.0,2935179000.0,-943917000.0,1922000.0,3877174000.0,-344938000.0,479866000.0,194.27182
9/30/2005,9451001000.0,8382685000.0,7630147000.0,5518569000.0,2111578000.0,541815000.0,541815000.0,1068316000.0,803078000.0,1173116000.0,-370038000.0,228603000.0,228603000.0,657933000.0,559848000.0,478094000.0,87346000.0,87346000.0,390748000.0,55654000.0,55654000.0,98085000.0,8793068000.0,8793068000.0,290000.0,290000.0,1683660000.0,-125369000.0,8793068000.0,8793068000.0,8564465000.0,7822837000.0,8793078000.0,8564465000.0,590524084.0,590524084.0,1578456000.0,1578456000.0,653826000.0,924630000.0,395459000.0,151721000.0,529171000.0,549968000.0,168786000.0,381182000.0,381182000.0,381182000.0,381182000.0,381182000.0,529171000.0,1049285000.0,381182000.0,381182000.0,529171000.0,653826000.0,381182000.0,605136000.0,0.31,0.0,646747000.0,646747000.0,75965000.0,75965000.0,67662000.0,8303000.0,8303000.0,46942000.0,-120496000.0,-18085000.0,90565000.0,-189090000.0,-189090000.0,-292532000.0,-292532000.0,125988000.0,-3139329000.0,3265317000.0,4308293000.0,4308293000.0,5518569000.0,4765950000.0,-853000.0,753472000.0,-292532000.0,354215000.0,157.63913
6/30/2005,4497718000.0,3649210000.0,2947967000.0,753472000.0,2194495000.0,492004000.0,419238000.0,848508000.0,576597000.0,780749000.0,-204152000.0,216604000.0,216604000.0,543861000.0,448370000.0,400162000.0,105572000.0,105572000.0,294590000.0,47917000.0,47917000.0,95491000.0,3953857000.0,3953857000.0,273000.0,273000.0,1302478000.0,-186289000.0,3953857000.0,3953857000.0,3737253000.0,3200840000.0,3954148000.0,3737253000.0,557947855.0,557947855.0,1384495000.0,1384495000.0,597095000.0,787400000.0,311702000.0,95772000.0,475698000.0,495420000.0,152606000.0,342814000.0,342814000.0,342814000.0,342814000.0,342814000.0,475698000.0,908797000.0,342814000.0,342814000.0,475698000.0,597095000.0,342814000.0,542627000.0,0.31,0.0,624619000.0,624619000.0,66929000.0,66929000.0,56967000.0,9962000.0,9962000.0,48752000.0,-44518000.0,30085000.0,31226000.0,-348499000.0,-348499000.0,-157463000.0,-157463000.0,-166834000.0,-693506000.0,526672000.0,7956000.0,7956000.0,753472000.0,284076000.0,-13176000.0,482572000.0,-157463000.0,467156000.0,146.525787
3/31/2005,3865199000.0,3158474000.0,2507298000.0,482572000.0,2024726000.0,441932000.0,371905000.0,706725000.0,474829000.0,678981000.0,-204152000.0,186251000.0,186251000.0,438337000.0,393328000.0,350624000.0,75444000.0,75444000.0,275180000.0,41394000.0,41394000.0,45009000.0,3426862000.0,3426862000.0,271000.0,271000.0,959664000.0,-206204000.0,3426862000.0,3426862000.0,3240611000.0,2765146000.0,3428172000.0,3240611000.0,554161505.0,554161505.0,1256516000.0,1256516000.0,545208000.0,711308000.0,268538000.0,79412000.0,442770000.0,456456000.0,87263000.0,369193000.0,369193000.0,369193000.0,369193000.0,369193000.0,442770000.0,813746000.0,369193000.0,369193000.0,442770000.0,545208000.0,369193000.0,498963000.0,0.19,0.0,529622000.0,529622000.0,56193000.0,56193000.0,46478000.0,9715000.0,9715000.0,-22049000.0,-60069000.0,42694000.0,6044000.0,-472328000.0,-472328000.0,-142391000.0,-142391000.0,-324937000.0,-1160160000.0,835223000.0,3505000.0,3505000.0,482572000.0,60799000.0,-5100000.0,426873000.0,-142391000.0,387231000.0,89.917969
12/31/2004,3313351000.0,2693465000.0,2132297000.0,426873000.0,1705424000.0,382345000.0,311836000.0,619886000.0,378916000.0,583068000.0,-204152000.0,193887000.0,193887000.0,384295000.0,340368000.0,301958000.0,32672000.0,32672000.0,269286000.0,36508000.0,36508000.0,43927000.0,2929056000.0,2929056000.0,267000.0,267000.0,590471000.0,-244034000.0,2929056000.0,2929056000.0,2735169000.0,2353097000.0,2930958000.0,2735169000.0,546302566.0,546302566.0,1031501000.0,1031501000.0,453779000.0,577722000.0,274923000.0,87442000.0,302799000.0,310173000.0,106073000.0,204100000.0,204100000.0,204100000.0,204100000.0,204100000.0,302799000.0,728702000.0,204100000.0,204100000.0,302799000.0,453779000.0,204100000.0,355259000.0,0.34,0.0,368097000.0,368097000.0,52460000.0,52460000.0,42903000.0,9557000.0,9557000.0,-4986000.0,-78567000.0,-16885000.0,57188000.0,-296634000.0,-296634000.0,-59080000.0,-59080000.0,-189524000.0,-1252268000.0,1062744000.0,290000.0,290000.0,426873000.0,71753000.0,10651000.0,344469000.0,-59080000.0,309017000.0,96.035034
9/30/2004,2888518000.0,2360211000.0,1858356000.0,344469000.0,1513887000.0,348127000.0,233057000.0,528307000.0,362609000.0,436191000.0,-73582000.0,145475000.0,145475000.0,299495000.0,274470000.0,249556000.0,49557000.0,49557000.0,199999000.0,21888000.0,21888000.0,25025000.0,2589023000.0,2589023000.0,273000.0,273000.0,386371000.0,-294920000.0,2589023000.0,2589023000.0,2443548000.0,2085741000.0,2592049000.0,2443548000.0,546302566.0,546302566.0,805887000.0,805887000.0,362099000.0,443788000.0,432676000.0,57409000.0,11112000.0,14978000.0,-37005000.0,51983000.0,51983000.0,51983000.0,51983000.0,51983000.0,11112000.0,794775000.0,51983000.0,172583000.0,11112000.0,362099000.0,51983000.0,253438000.0,0.4,-80400000.0,238343000.0,238343000.0,41326000.0,41326000.0,35796000.0,5530000.0,5530000.0,-268918000.0,-41864000.0,-12273000.0,-225365000.0,-1309728000.0,-1309728000.0,-77632000.0,-77632000.0,-1224801000.0,-2411227000.0,1186426000.0,1162001000.0,1162001000.0,344469000.0,90616000.0,-845000.0,254698000.0,-77632000.0,160711000.0,64.558022
